Form,Section,QuestionKey,order,Question,Code Set,Valid Choice,Choice Code,Code Value Comment,PARENT comment,GRAND comment,GREAT comment,ANTIQUITY Comment
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Hospice (medical facility),51,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Swing bed;,61,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Another Inpatient Rehabilitation Facility,62,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Long-Term Care Hospital (LTCH,63,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Medicaid Nursing Facility,64,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Inpatient Psychiatric Facility,65,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q17,17,Pre-hospital Living With,110,Alone,1,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q17,17,Pre-hospital Living With,110,Family / Relatives,2,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q17,17,Pre-hospital Living With,110,Friends,3,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q17,17,Pre-hospital Living With,110,Attendant,4,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q17,17,Pre-hospital Living With,110,Other,5,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20A,20,Primary Payment Source,171,Medicare Fee For Service,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20A,20,Primary Payment Source,171,Medicare-Medicare Advantage,51,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20A,20,Primary Payment Source,171,Not Listed,99,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20B,20,Secondary Payment Source,171,Medicare Fee For Service,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20B,20,Secondary Payment Source,171,Medicare-Medicare Advantage,51,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Payer,Q20B,20,Secondary Payment Source,171,Not Listed,99,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q21A,21,Impairment Group At Admission,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q21B,21,Impairment Group At Discharge,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q22,22,Etiologic Diagnosis,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q23,23,Date of Onset of Impairment,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q24,24,Comorbid Conditions,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q24A,24,"Are there any arthritis conditions recorded in items #21, #22, or #24 that meet all of the regulatory requirements for IRF classification (in 42 CFR 412.29(b)(2)(x), (xi), and (xii))?",83,Yes,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q24A,24,"Are there any arthritis conditions recorded in items #21, #22, or #24 that meet all of the regulatory requirements for IRF classification (in 42 CFR 412.29(b)(2)(x), (xi), and (xii))?",83,No,0,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q25A,25,Height on admission (in inches),153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Medical,Q26A,26,Weight on admission (in pounds),153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q42-RESUME,32,Program Interruptions (Resume Date),83,Yes,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q42-RESUME,32,Program Interruptions (Resume Date),83,No,0,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q40,40,Discharge Date,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q41,41,Patient discharged against medical advice?,83,Yes,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q41,41,Patient discharged against medical advice?,83,No,0,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q42-INTRRUPT,42,Program Interruptions (Interrupt Date),83,Yes,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q42-INTRRUPT,42,Program Interruptions (Interrupt Date),83,No,0,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q43,43,Program Interruption Dates (Code only if item 42 is 1 -Yes),92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44C,44,Was the patient discharged alive,83,Yes,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44C,44,Was the patient discharged alive,83,No,0,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,"Home (private home/apt., board/care, assisted living, group home, transitional living, other residential care arrangements",1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Short-term General Hospital,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Skilled Nursing Facility (SNF),3,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Intermediate care,4,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Home under care of organized home health service organization,6,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Hospice (home),50,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Critical Access Hospital (CAH),66,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Not Listed,99,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Hospice (medical facility),51,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Swing bed;,61,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Another Inpatient Rehabilitation Facility,62,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Long-Term Care Hospital (LTCH,63,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Medicaid Nursing Facility,64,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q44D,44,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",93,Inpatient Psychiatric Facility,65,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q45,45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),110,Alone,1,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q45,45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),110,Family / Relatives,2,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q45,45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),110,Friends,3,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q45,45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),110,Attendant,4,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q45,45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),110,Other,5,NULL,"used by Q45, Q17",NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q46,46,Diagnosis for Interruption or Death (Code using ICD code),118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Discharge,Q47,47,Complications during rehabilitation stay (Use ICD codes to specify up to six conditions thatbegan with this rehabilitation stay),118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401A,50,Week 1 Physical Therapy: Total Number of Minutes Provided,2,Indiviaual Therapy,PHY-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401A,50,Week 1 Physical Therapy: Total Number of Minutes Provided,2,Concurrent Therapy,PHY-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401A,50,Week 1 Physical Therapy: Total Number of Minutes Provided,2,Group Therapy,PHY-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401A,50,Week 1 Physical Therapy: Total Number of Minutes Provided,2,Co-treatment Therapy,PHY-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401B,50,Week 1 Occupational Therapy: Total Number of Minutes Provided,3,Individual Therapy,OCC-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401B,50,Week 1 Occupational Therapy: Total Number of Minutes Provided,3,Concurrent Therapy,OCC-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401B,50,Week 1 Occupational Therapy: Total Number of Minutes Provided,3,Group Therapy,OCC-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401B,50,Week 1 Occupational Therapy: Total Number of Minutes Provided,3,Co-treatment Therapy,OCC-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401C,50,Week 1 Speech-Language Pathology: Total Number of Minutes Provided,4,Indiviaual Therapy,SPCH-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401C,50,Week 1 Speech-Language Pathology: Total Number of Minutes Provided,4,Concurrent Therapy,SPCH-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401C,50,Week 1 Speech-Language Pathology: Total Number of Minutes Provided,4,Group Therapy,SPCH-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0401C,50,Week 1 Speech-Language Pathology: Total Number of Minutes Provided,4,Co-treatment Therapy,SPCH-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402A,50,Week 2 Physical Therapy: Total Number of Minutes Provided,9,Indiviaual Therapy,PHY-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402A,50,Week 2 Physical Therapy: Total Number of Minutes Provided,9,Concurrent Therapy,PHY-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402A,50,Week 2 Physical Therapy: Total Number of Minutes Provided,9,Group Therapy,PHY-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402A,50,Week 2 Physical Therapy: Total Number of Minutes Provided,9,Co-treatment Therapy,PHY-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402B,50,Week 2 Occupational Therapy: Total Number of Minutes Provided,10,Indiviaual Therapy,OCC-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402B,50,Week 2 Occupational Therapy: Total Number of Minutes Provided,10,Concurrent Therapy,OCC-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402B,50,Week 2 Occupational Therapy: Total Number of Minutes Provided,10,Group Therapy,OCC-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402B,50,Week 2 Occupational Therapy: Total Number of Minutes Provided,10,Co-treatment Therapy,OCC-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402C,50,Week 2 Speech-Language Pathology: Total Number of Minutes Provided,12,Indiviaual Therapy,SPCH-Individual,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402C,50,Week 2 Speech-Language Pathology: Total Number of Minutes Provided,12,Concurrent Therapy,SPCH-Concurrent,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402C,50,Week 2 Speech-Language Pathology: Total Number of Minutes Provided,12,Group Therapy,SPCH-Group,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Therapy,Q0402C,50,Week 2 Speech-Language Pathology: Total Number of Minutes Provided,12,Co-treatment Therapy,SPCH-CoTreatment,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section C,C0900Z,NULL,None of the above were recalled,372,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0160-ADMISSION,NULL,"Add scores for all frequency responses in column 2, Symptom Frequency. Total score must be between 02 and 27. Enter 99 if unable to complete interview (i.e., Symptom Frequency is blank for 3 or more required items)",153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Never,0,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Rarely  ,1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Sometimes,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Often,3,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Always,4,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section D,D0700-ADMISSION,NULL,How often do you feel lonely or isolated from those around you?,277,Patient unable to respond,8,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100A,NULL,"Self-Care: Code the patient's need for assistance with bathing, dressing, using the toilet, and eating prior to the current illness, exacerbation, or injury.",284,"Independent - Patient completed all the activities by him/herself, with or without an assistive device, with no assistance from a helper.",3,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100A,NULL,"Self-Care: Code the patient's need for assistance with bathing, dressing, using the toilet, and eating prior to the current illness, exacerbation, or injury.",284,Needed Some Help - Patient needed partial assistance from another person to complete any activities,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100A,NULL,"Self-Care: Code the patient's need for assistance with bathing, dressing, using the toilet, and eating prior to the current illness, exacerbation, or injury.",284,Dependent - A helper completed all the activities for the patient.,1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100A,NULL,"Self-Care: Code the patient's need for assistance with bathing, dressing, using the toilet, and eating prior to the current illness, exacerbation, or injury.",284,Unknown,8,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100A,NULL,"Self-Care: Code the patient's need for assistance with bathing, dressing, using the toilet, and eating prior to the current illness, exacerbation, or injury.",284,Not Applicable,9,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100B,NULL,"Indoor Mobility (Ambulation): Code the patient's need for assistance with walking from room to room (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,"Independent - Patient completed all the activities by him/herself, with or without an assistive device, with no assistance from a helper.",3,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100B,NULL,"Indoor Mobility (Ambulation): Code the patient's need for assistance with walking from room to room (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Needed Some Help - Patient needed partial assistance from another person to complete any activities,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100B,NULL,"Indoor Mobility (Ambulation): Code the patient's need for assistance with walking from room to room (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Dependent - A helper completed all the activities for the patient.,1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100B,NULL,"Indoor Mobility (Ambulation): Code the patient's need for assistance with walking from room to room (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Unknown,8,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100B,NULL,"Indoor Mobility (Ambulation): Code the patient's need for assistance with walking from room to room (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Not Applicable,9,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100C,NULL,"Stairs: Code the patient's need for assistance with internal or external stairs (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,"Independent - Patient completed all the activities by him/herself, with or without an assistive device, with no assistance from a helper.",3,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100C,NULL,"Stairs: Code the patient's need for assistance with internal or external stairs (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Needed Some Help - Patient needed partial assistance from another person to complete any activities,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100C,NULL,"Stairs: Code the patient's need for assistance with internal or external stairs (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Dependent - A helper completed all the activities for the patient.,1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100C,NULL,"Stairs: Code the patient's need for assistance with internal or external stairs (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Unknown,8,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100C,NULL,"Stairs: Code the patient's need for assistance with internal or external stairs (with or without a device such as cane, crutch, or walker) prior to the current illness, exacerbation, or injury.",284,Not Applicable,9,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100D,NULL,"Functional Cognition: Code the patient's need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.",284,"Independent - Patient completed all the activities by him/herself, with or without an assistive device, with no assistance from a helper.",3,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100D,NULL,"Functional Cognition: Code the patient's need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.",284,Needed Some Help - Patient needed partial assistance from another person to complete any activities,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100D,NULL,"Functional Cognition: Code the patient's need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.",284,Dependent - A helper completed all the activities for the patient.,1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100D,NULL,"Functional Cognition: Code the patient's need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.",284,Unknown,8,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0100D,NULL,"Functional Cognition: Code the patient's need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.",284,Not Applicable,9,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0110A,NULL,Manual wheelchair,372,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0130A1-ADMISSION,NULL,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,297,"Dependent - Helper does ALL of the effort. Patient does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the patient to complete the activity.",1,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0130A1-ADMISSION,NULL,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,297,Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.,2,NULL,NULL,NULL,NULL,NULL
Form-Admission,Section GG,GG0130A1-ADMISSION,NULL,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,297,"Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds or supports trunk or limbs, but provides less than half the effort.",3,NULL,NULL,NULL,NULL,NULL
